<Phenotype>				
taxa	data	data	data	data
Taxa	Trait1	Trait2	Trait3	Trait4
ALA10	20	8	26	20
ALA11	5.6	9	44	35
ALA12	7.4	4	32	33
ALA13	6.2	9	48	45
ALA14	9.82	27	49	29
ALA15	9.3	19	34	35
ALA16	6.5	11	38	33
ALA18	6.1	11	47	43
ALA19	7.2	27	44	17
BERRE12	4.9	3	29	37
BERRE13	1.9	23	48	18
BERRE14	3.3	17	31	28
BERRE15	1.9	7	46	49
BERRE16	1.15	10	23	23
BERRE17	1	5	45	19
BERRE18	0.58	24	11	25
BERRE19	1.9	29	38	41
BERRE20	1.9	17	16	26
BOCA11	4.4	6	35	36
BOCA12	6	21	36	39
BOCA13	4.2	11	31	19
BOCA14	4.9	12	49	31
BOCA15	4.9	9	28	16
BOCA16	15.8	24	26	33
BOCA17	5.5	8	22	49
BOCA18	3.9	18	29	29
BOCA19	4	29	44	19
BOCA20	4.8	18	24	23
BOR11	5.1	25	18	22
BOR12	6.2	13	49	40
BOR13	5.5	5	29	33
BOR14	4.9	8	34	40
BOR15	5.1	10	20	23
BOR16	5.3	7	49	34
BOR17	6.2	9	23	36
BOR18	5.3	3	30	35
BRA1	23	22	31	38
BRA2	25	25	30	46
BRA3	27	30	29	47
BRA4	21	20	41	29
CACA11	6.6	4	31	44
CACA12	7.2	13	44	48
CACA13	6.5	26	27	19
CACA14	6.2	29	20	18
CACA15	7.2	23	26	42
CACA16	7.5	9	30	43
CACA17	7	20	29	16
CACA18	7.6	4	19	29
CACA19	6.5	11	49	23
CACA20	5.6	24	48	33
CATA1	22.2	11	47	20
CATA10	8.1	5	16	36
CATA11	22.2	23	31	50
CATA2	18.1	10	25	40
CATA3	14.2	5	10	41
CATA4	10.1	24	13	43
CATA5	16.1	12	23	42
CATA6	16.1	26	50	33
CATA7	10	11	41	44
CATA8	13	22	26	44
CATA9	14.6	7	10	35
COMO11	6.1	12	49	31
COMO12	4.4	11	18	31
COMO13	4.5	7	13	21
COMO14	4.8	16	32	17
COMO15	5.9	11	46	20
COMO16	6.3	5	35	45
COMO17	5.4	4	50	19
COMO18	4.7	6	24	36
COMO19	4.3	14	43	45
COMO20	4.6	16	11	43
GAS1	10.1	20	30	23
GAS2	11.7	19	22	26
GER11	3.5	16	39	39
GER12	5.4	22	15	43
GER13	4.8	8	29	38
GER14	3.8	30	28	22
GER15	3.1	16	20	40
GER16	5.8	29	10	26
GER18	5.1	9	45	15
GER19	3.9	19	26	36
GER20	6.9	19	14	39
GUA1	14.5	21	35	45
HELL12	7.7	12	23	19
HELL13	3.8	11	31	17
HELL14	3.9	6	24	47
HELL15	5	11	27	28
HELL16	3.7	23	13	24
HELL17	5.3	4	43	48
HELL18	5.1	29	34	16
JAV1	12.7	16	15	29
JAV2	14.7	14	42	34
JAV3	11.8	29	21	30
JAV4	10.7	28	46	46
JOSH11	6.9	25	44	39
JOSH12	3.6	28	17	48
JOSH13	5.5	27	16	50
JOSH14	6.7	13	20	37
JOSH16	7	23	17	21
JOSH17	4.7	29	39	47
JOSH18	9.2	5	24	45
JOSH19	4	11	19	35
JOSH20	1.9	13	29	49
KOFA11	2	15	19	18
KOFA12	3.1	27	50	37
KOFA13	7.3	5	48	49
KOFA14	7.8	6	41	18
KOFA15	5.6	16	17	21
KOFA16	3.5	27	24	34
KOFA17	7.6	24	26	33
KOFA18	7.4	19	27	43
KOFA19	5.5	15	36	29
KOFA20	2.9	7	47	32
MULE11	16.2	5	36	24
MULE12	7.5	12	29	19
MULE13	7.5	13	31	22
MULE14	5.6	29	45	44
MULE15	5.8	22	27	24
MULE16	6.8	24	26	42
MULE17	7.1	24	11	48
MULE18	6.7	29	34	42
MULE19	7	12	12	32
MULE20	6.2	19	31	44
NACA11	7.3	19	33	35
NACA12	4.4	10	26	25
NACA13	5.2	13	18	31
NACA14	5.9	29	18	19
NACA15	6.7	6	13	36
NACA16	7.3	6	23	29
NACA17	8	24	38	31
NACA18	7.7	26	44	37
NACA19	6.4	10	40	29
NACA20	6.7	6	38	43
PALM11	8.5	25	39	19
PALM12	5	4	19	34
PALM13	7.3	20	22	32
PALM14	4.9	11	39	20
PALM15	7.9	22	33	48
PALM16	5.9	17	18	38
PALM17	7.8	16	40	42
PALM18	7.7	19	42	44
PALO11	5.4	29	31	48
PALO12	3.6	24	47	22
PALO13	6.5	27	34	16
PALO14	4.7	11	40	48
PALO15	5.5	18	38	18
PALO16	6.7	20	18	47
PALO17	6.6	22	25	25
PALO19	6	6	48	33
PALO20	6.3	23	35	25
ROFO11	8.1	20	37	34
ROFO12	8.1	26	19	23
ROFO13	7.5	17	48	43
ROFO14	6.2	3	46	40
ROFO15	6.1	16	48	28
ROFO16	4.9	24	41	50
ROFO17	5.2	5	17	34
ROFO18	9.1	3	25	16
ROFO19	4	12	39	32
ROFO20	7.6	17	46	21
SJD11	5.4	27	41	39
SJD12	6.3	4	23	42
SJD13	5.7	11	41	17
SJD15	4.7	22	26	46
SJD16	5.7	20	27	19
SJD17	5.5	27	20	39
SJD18	4.1	8	45	48
SJD19	3	16	10	29
SJD20	5.5	8	46	21
STAMA11	14.5	27	45	34
STAMA12	16	4	47	50
STAMA13	14.4	11	42	48
STAMA14	15.9	6	36	36
STAMA15	18.8	3	42	23
STAMA18	16.2	11	42	38
STAMA19	19.2	30	32	42
STAMA20	15.3	19	49	20
STAMA21	16	15	45	33
STMA17	13.3	15	13	34
TAJO1	15.9	9	29	21
TAJO3	7.1	29	27	31
