sample_id	LATITUDE	LONGITUDE
ALA15	27.29756	-112.88292
ALA13	27.29738	-112.88238
ALA18	27.29728	-112.88304
BERRE15	30.53677	-115.1359
BERRE19	30.538167	-115.13575
BERRE12	30.52792	-115.13335
BOCA20	29.67203	-114.91109
BOCA14	29.67211	-114.9109
BOCA19	29.67205	-114.91109
BOR14	28.7402	-113.75219
BOR18	28.74091	-113.75359
BOR13	28.74009	-113.75225
CACA18	33.23684	-116.44088
CACA11	33.23679	-116.44062
CACA17	33.2368	-116.4408
CATA9	29.74948	-114.7441
CATA1	29.72597	-114.71608
CATA5	29.72635	-114.71328
COMO11	26.06106	-111.82456
COMO14	26.0612	-111.82448
COMO18	26.0609	-111.82439
JOSH19	34.10623	-116.10551
JOSH18	34.10633	-116.10533
JOSH14	34.10594	-116.10513
KOFA12	33.3625	-114.0982
KOFA13	33.36206	-114.0985
KOFA18	33.36195	-114.0985
MULE20	26.88568	-111.98855
MULE19	26.88578	-111.98842
MULE16	26.88609	-111.98789
NACA18	28.0165	-111.05572
NACA16	28.01588	-111.05592
NACA14	28.01576	-111.05601
PALM11	33.73634	-116.5376
PALM17	33.73568	-116.53722
PALM18	33.73405	-116.5369
PALO16	31.92517	-115.71464
PALO13	31.92778	-115.72738
PALO20	31.92552	-115.71451
ROFO17	24.33662	-110.71075
ROFO16	24.33637	-110.711104
ROFO12	24.33671	-110.71097
SJD19	23.0553	-109.68739
SJD20	23.0553	-109.68734
SJD11	23.05279	-109.6865
STAMA19	24.08089	-110.1136
STAMA20	24.08065	-110.1136
STAMA12	24.08345	-110.11006
